,,,Part 1. Theoretical Questions ,,,,,,,
,Done,Num.,Lesson,Question Type,Question Body,Choice A,Choice B,Choice C,Choice D,Correct Answer
1,FALSE,1,Intro to Programming Paradigms,Theoretical,"What is a ""programming paradigm""?","A specific programming language, like Java or C.",A set of rules for debugging code.,A fundamental style or way of thinking about how to build software.,A software library for user interfaces.,C
1,FALSE,2,Intro to Programming Paradigms,Theoretical,"A language that supports multiple programming paradigms (e.g., Python, C++) is called:",A multi-threaded language,A multi-paradigm language,A compiled language,A high-level language,B
1,FALSE,3,Intro to Programming Paradigms,Theoretical,The set of rules defining the valid structure and symbols of a language is its:,Paradigm,Semantics,Syntax,Algorithm,C
1,FALSE,4,Intro to Programming Paradigms,Theoretical,The *meaning* of a syntactically correct piece of code is referred to as its:,Semantics,Paradigm,Type system,Control flow,A
1,FALSE,5,Intro to Programming Paradigms,Theoretical,Why do different programming paradigms exist?,Because older paradigms are obsolete and replaced by new ones.,To make programming more difficult.,Because different paradigms are better suited for solving different types of problems.,Because computer hardware has changed.,C
1,FALSE,6,Intro to Programming Paradigms,Theoretical,Which paradigm does the C language primarily follow?,Object-Oriented,Functional,Procedural,Event-Driven,C
1,FALSE,7,Intro to Programming Paradigms,Theoretical,Which paradigm does the Java language primarily follow?,Object-Oriented,Procedural,Functional,Declarative,A
1,FALSE,8,Intro to Programming Paradigms,Theoretical,SQL (Structured Query Language) is a classic example of which paradigm?,Imperative,Declarative,Procedural,Object-Oriented,B
1,FALSE,9,Intro to Programming Paradigms,Theoretical,Which paradigm is modeled on the concept of mathematical functions?,Procedural,Object-Oriented,Functional,Imperative,C
1,FALSE,10,Intro to Programming Paradigms,Theoretical,"A paradigm defines a program's structure, its building blocks, and:",The specific company that created it.,The methods of computation and data organization.,The exact speed at which the code will run.,The type of computer it can run on.,B
1,FALSE,11,Procedural Programming,Theoretical,What is the fundamental building block of a procedural program?,An object,A procedure (or function/subroutine),An event,A class,B
1,FALSE,12,Procedural Programming,Theoretical,How is a problem typically solved in the procedural paradigm?,By modeling real-world objects.,By defining a sequence of steps or procedure calls to follow.,By responding to user-initiated events.,By defining the logical result without specifying the steps.,B
1,FALSE,13,Procedural Programming,Theoretical,Procedural programming is a sub-paradigm of which broader paradigm?,Declarative,Functional,Object-Oriented,Imperative,D
1,FALSE,14,Procedural Programming,Theoretical,"What is a ""top-down design"" in the context of procedural programming?",Starting with the user interface and working backward.,"Breaking a large problem into smaller procedures, then breaking those procedures into even smaller ones.","Writing all the code in a single, long file from top to bottom.",Designing the data structures before writing any functions.,B
1,FALSE,15,Procedural Programming,Theoretical,How is data (state) typically handled in procedural programming?,It is strictly encapsulated within objects.,"It is often stored in shared or global variables, or passed as parameters between procedures.",It is immutable and cannot be changed.,It is only stored in databases.,B
1,FALSE,16,Procedural Programming,Theoretical,Which language is considered the classic example of procedural programming?,Java,Haskell,C,Smalltalk,C
1,FALSE,17,Procedural Programming,Theoretical,"What is a primary criticism of procedural programming for very large, complex systems?",It is too slow.,It makes code easy to reuse.,The separation of data and the functions that operate on it can make state management difficult.,It relies too much on mathematical principles.,C
1,FALSE,18,Procedural Programming,Theoretical,"What is a ""procedure call""?",A variable that stores a value.,A data structure that holds other data.,"An instruction that executes a specific, named block of code (the procedure).",A type of error.,C
1,FALSE,19,Procedural Programming,Theoretical,Which control structures are central to procedural programming?,"Sequence, selection (if/switch), and iteration (loops).",Inheritance and polymorphism.,Event listeners and callbacks.,Higher-order functions and recursion.,A
